	syllabic	diphthong	mainstress	stress	consonantal	sonorant	continuant	nasal	voice	LABIAL	round	CORONAL	anterior	strident	lateral	DORSAL	high	low	back	tense	rhotic	rhyme
B	-	0	0	0	+	-	-	0	+	+	0	0	0	0	0	0	0	0	0	0	0	-
BCoda	-	0	0	0	+	-	-	0	+	+	0	0	0	0	0	0	0	0	0	0	0	+
CH	-	0	0	0	+	-	-	0	-	0	0	+	-	+	0	0	0	0	0	0	0	-
CHCoda	-	0	0	0	+	-	-	0	-	0	0	+	-	+	0	0	0	0	0	0	0	+
D	-	0	0	0	+	-	-	0	+	0	0	+	+	0	0	0	0	0	0	0	0	-
DCoda	-	0	0	0	+	-	-	0	+	0	0	+	+	0	0	0	0	0	0	0	0	+
DH	-	0	0	0	+	-	+	0	+	0	0	+	+	-	0	0	0	0	0	0	0	-
DHCoda	-	0	0	0	+	-	+	0	+	0	0	+	+	-	0	0	0	0	0	0	0	+
F	-	0	0	0	+	-	+	0	-	+	0	0	0	0	0	0	0	0	0	0	0	-
FCoda	-	0	0	0	+	-	+	0	-	+	0	0	0	0	0	0	0	0	0	0	0	+
G	-	0	0	0	+	-	-	0	+	0	0	0	0	0	0	+	0	0	0	0	0	-
GCoda	-	0	0	0	+	-	-	0	+	0	0	0	0	0	0	+	0	0	0	0	0	+
HH	-	0	0	0	-	-	+	0	-	0	0	0	0	0	0	0	0	0	0	0	0	-
HHCoda	-	0	0	0	-	-	+	0	-	0	0	0	0	0	0	0	0	0	0	0	0	+
JH	-	0	0	0	+	-	-	0	+	0	0	+	-	+	0	0	0	0	0	0	0	-
JHCoda	-	0	0	0	+	-	-	0	+	0	0	+	-	+	0	0	0	0	0	0	0	+
K	-	0	0	0	+	-	-	0	-	0	0	0	0	0	0	+	0	0	0	0	0	-
KCoda	-	0	0	0	+	-	-	0	-	0	0	0	0	0	0	+	0	0	0	0	0	+
L	-	0	0	0	+	+	0	0	0	0	0	+	+	0	+	0	0	0	0	0	0	-
LCoda	-	0	0	0	+	+	0	0	0	0	0	+	+	0	+	0	0	0	0	0	0	+
M	-	0	0	0	+	+	0	+	0	+	0	0	0	0	0	0	0	0	0	0	0	-
MCoda	-	0	0	0	+	+	0	+	0	+	0	0	0	0	0	0	0	0	0	0	0	+
N	-	0	0	0	+	+	0	+	0	0	0	+	+	0	0	0	0	0	0	0	0	-
NCoda	-	0	0	0	+	+	0	+	0	0	0	+	+	0	0	0	0	0	0	0	0	+
NG	-	0	0	0	+	+	0	+	0	0	0	0	0	0	0	+	0	0	0	0	0	-
NGCoda	-	0	0	0	+	+	0	+	0	0	0	0	0	0	0	+	0	0	0	0	0	+
P	-	0	0	0	+	-	-	0	-	+	0	0	0	0	0	0	0	0	0	0	0	-
PCoda	-	0	0	0	+	-	-	0	-	+	0	0	0	0	0	0	0	0	0	0	0	+
R	-	0	0	0	-	+	0	0	0	0	0	+	-	0	0	0	0	0	0	0	0	-
RCoda	-	0	0	0	-	+	0	0	0	0	0	+	-	0	0	0	0	0	0	0	0	+
S	-	0	0	0	+	-	+	0	-	0	0	+	+	+	0	0	0	0	0	0	0	-
SCoda	-	0	0	0	+	-	+	0	-	0	0	+	+	+	0	0	0	0	0	0	0	+
SH	-	0	0	0	+	-	+	0	-	0	0	+	-	+	0	0	0	0	0	0	0	-
SHCoda	-	0	0	0	+	-	+	0	-	0	0	+	-	+	0	0	0	0	0	0	0	+
T	-	0	0	0	+	-	-	0	-	0	0	+	+	0	0	0	0	0	0	0	0	-
TCoda	-	0	0	0	+	-	-	0	-	0	0	+	+	0	0	0	0	0	0	0	0	+
TH	-	0	0	0	+	-	+	0	-	0	0	+	+	-	0	0	0	0	0	0	0	-
THCoda	-	0	0	0	+	-	+	0	-	0	0	+	+	-	0	0	0	0	0	0	0	+
V	-	0	0	0	+	-	+	0	+	+	0	0	0	0	0	0	0	0	0	0	0	-
VCoda	-	0	0	0	+	-	+	0	+	+	0	0	0	0	0	0	0	0	0	0	0	+
W	-	0	0	0	-	+	0	0	0	+	+	0	0	0	0	0	+	-	+	0	0	-
WCoda	-	0	0	0	-	+	0	0	0	+	+	0	0	0	0	0	+	-	+	0	0	+
Y	-	0	0	0	-	+	0	0	0	0	0	0	0	0	0	0	+	-	-	0	0	-
YCoda	-	0	0	0	-	+	0	0	0	0	0	0	0	0	0	0	+	-	-	0	0	+
Z	-	0	0	0	+	-	+	0	+	0	0	+	+	+	0	0	0	0	0	0	0	-
ZCoda	-	0	0	0	+	-	+	0	+	0	0	+	+	+	0	0	0	0	0	0	0	+
ZH	-	0	0	0	+	-	+	0	+	0	0	+	-	+	0	0	0	0	0	0	0	-
ZHCoda	-	0	0	0	+	-	+	0	+	0	0	+	-	+	0	0	0	0	0	0	0	+
AH0	+	-	0	-	-	+	0	0	0	0	-	0	0	0	0	0	-	-	+	-	-	0
ER0	+	-	0	-	-	+	0	0	0	0	-	0	0	0	0	0	-	-	+	+	+	0
IH0	+	-	0	-	-	+	0	0	0	0	-	0	0	0	0	0	+	-	-	-	0	0
IY0	+	-	0	-	-	+	0	0	0	0	-	0	0	0	0	0	+	-	-	+	0	0
OW0	+	-	0	-	-	+	0	0	0	0	+	0	0	0	0	0	-	-	+	+	0	0
UW0	+	-	0	-	-	+	0	0	0	0	+	0	0	0	0	0	+	-	+	+	0	0
AA2	+	-	0	+	-	+	0	0	0	0	-	0	0	0	0	0	-	+	+	+	0	0
AE2	+	-	0	+	-	+	0	0	0	0	-	0	0	0	0	0	-	+	-	-	0	0
AH2	+	-	0	+	-	+	0	0	0	0	-	0	0	0	0	0	-	-	+	-	-	0
AO2	+	-	0	+	-	+	0	0	0	0	+	0	0	0	0	0	-	+	+	+	0	0
EH2	+	-	0	+	-	+	0	0	0	0	-	0	0	0	0	0	-	-	-	-	0	0
